destination_id,label,state,market,first_year,last_year,years_with_data,total_rows,gap_years
10,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Aguascalientes,Centro Comercial Agropecuario de Aguascalientes,1998,2026,29,432262,
20,Baja California Sur: Unión de Comerciantes de La Paz,Baja California Sur,Unión de Comerciantes de La Paz,1998,2026,29,362209,
33,"Baja California : Central de Abasto INDIA, Tijuana",Baja California,"Central de Abasto INDIA, Tijuana",2002,2026,25,412847,
40,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Campeche,"Mercado ""Pedro Sáinz de Baranda"", Campeche",1998,2026,29,339599,
50,"Coahuila: Central de Abasto de La Laguna, Torreón",Coahuila,"Central de Abasto de La Laguna, Torreón",1998,2026,29,406789,
61,Chihuahua: Central de Abasto de Chihuahua,Chihuahua,Central de Abasto de Chihuahua,2003,2026,24,160857,
63,Chihuahua: Mercado de Abasto de Cd. Juárez,Chihuahua,Mercado de Abasto de Cd. Juárez,2003,2026,24,173639,
70,Chiapas: Central de Abasto de Tuxtla Gutiérrez,Chiapas,Central de Abasto de Tuxtla Gutiérrez,1998,2026,29,308696,
71,Chiapas: Tapachula,Chiapas,Tapachula,,,0,0,
80,Colima: Centros de distribución de Colima,Colima,Centros de distribución de Colima,1998,2026,29,127313,
100,DF: Central de Abasto de Iztapalapa DF,Distrito Federal,Central de Abasto de Iztapalapa DF,1998,2026,29,472509,
101,Durango: Centro de Distribución y Abasto de Gómez Palacio,Durango,Centro de Distribución y Abasto de Gómez Palacio,1998,2026,29,375537,
102,"Durango: Central de Abasto ""Francisco Villa""",Durango,"Central de Abasto ""Francisco Villa""",2000,2022,23,477273,
110,Guanajuato: Central de Abasto de León,Guanajuato,Central de Abasto de León,1998,2026,29,344466,
111,Guanajuato: Módulo de Abasto Irapuato,Guanajuato,Módulo de Abasto Irapuato,1998,2017,20,218126,
112,"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Guanajuato,"Mercado de Abasto de Celaya (""Benito Juárez"")",2007,2017,11,132584,
121,Guerrero: Central de Abastos de Acapulco,Guerrero,Central de Abastos de Acapulco,2000,2026,27,236552,
122,Guerrero: Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,,,0,0,
130,Hidalgo: Central de Abasto de Pachuca,Hidalgo,Central de Abasto de Pachuca,2002,2026,25,304776,
140,Jalisco: Mercado de Abasto de Guadalajara,Jalisco,Mercado de Abasto de Guadalajara,1998,2026,29,565645,
141,Jalisco: Mercado Felipe Ángeles de Guadalajara,Jalisco,Mercado Felipe Ángeles de Guadalajara,1998,2026,29,533997,
150,México: Central de Abasto de Toluca,México,Central de Abasto de Toluca,1998,2026,29,368738,
151,México: Central de Abasto de Ecatepec,México,Central de Abasto de Ecatepec,1998,2026,29,413622,
160,Michoacán: Mercado de Abasto de Morelia,Michoacán,Mercado de Abasto de Morelia,1998,2026,29,648218,
170,Morelos: Central de Abasto de Cuautla,Morelos,Central de Abasto de Cuautla,1998,2025,28,362869,
