product_id,label,name,quality
31,Acelga - Primera,Acelga,Primera
130,Aguacate Criollo - Primera,Aguacate Criollo,Primera
131,Aguacate Fuerte - Primera,Aguacate Fuerte,Primera
133,Aguacate Hass - Primera,Aguacate Hass,Primera
135,Aguacate Hass adelantado - Primera,Aguacate Hass adelantado,Primera
136,Aguacate Hass - Calidad extra,Aguacate Hass,Calidad extra
137,Aguacate Hass - Calidad super extra,Aguacate Hass,Calidad super extra
138,Aguacate Hass flor vieja - Primera,Aguacate Hass flor vieja,Primera
139,Aguacate Pagua - Primera,Aguacate Pagua,Primera
142,Ajo Blanco - Primera,Ajo Blanco,Primera
144,Ajo Blanco # 8 - Primera,Ajo Blanco # 8,Primera
146,Ajo Morado - Primera,Ajo Morado,Primera
152,Apio - Primera,Apio,Primera
157,Berenjena - Primera,Berenjena,Primera
160,Betabel - Primera,Betabel,Primera
162,Brócoli - Primera,Brócoli,Primera
166,Calabacita Criolla - Primera,Calabacita Criolla,Primera
169,Calabaza de castilla - Primera,Calabaza de castilla,Primera
170,Calabacita Italiana - Primera,Calabacita Italiana,Primera
175,Camote - Primera,Camote,Primera
178,Caña - Primera,Caña,Primera
180,Calabacita regional - Primera,Calabacita regional,Primera
181,Cacahuate - Primera,Cacahuate,Primera
182,Cebolla Bola grande - Primera,Cebolla Bola grande,Primera
183,Cebolla Bola - Primera,Cebolla Bola,Primera
187,Cebolla Morada - Primera,Cebolla Morada,Primera
190,Cebolla de rabo - Primera,Cebolla de rabo,Primera
196,Ciruela Amarilla - Primera,Ciruela Amarilla,Primera
197,Ciruela Claudia - Primera,Ciruela Claudia,Primera
198,Ciruela huesuda Amarilla - Primera,Ciruela huesuda Amarilla,Primera
199,Ciruela huesuda Roja - Primera,Ciruela huesuda Roja,Primera
200,Ciruela Moscatel - Primera,Ciruela Moscatel,Primera
201,Ciruela Negra - Primera,Ciruela Negra,Primera
203,Ciruela pasa - Primera,Ciruela pasa,Primera
207,Ciruela Roja - Primera,Ciruela Roja,Primera
208,Cilantro - Primera,Cilantro,Primera
213,Chile de Árbol fresco - Primera,Chile de Árbol fresco,Primera
215,Chile Anaheim - Primera,Chile Anaheim,Primera
216,Chile ancho - Primera,Chile ancho,Primera
217,Chile de Árbol seco - Primera,Chile de Árbol seco,Primera
220,Chile Cat - Primera,Chile Cat,Primera
221,Chile California - Primera,Chile California,Primera
222,Chile Caloro - Primera,Chile Caloro,Primera
223,Chile Caribe - Primera,Chile Caribe,Primera
225,Chile Chilaca - Primera,Chile Chilaca,Primera
227,Chile Dulce - Primera,Chile Dulce,Primera
228,Chile Guajillo - Primera,Chile Guajillo,Primera
230,Chile Habanero - Primera,Chile Habanero,Primera
232,Chile Húngaro - Primera,Chile Húngaro,Primera
233,Chile Jalapeño - Primera,Chile Jalapeño,Primera
